Date,Open,High,Low,Close,Volume
1/3/2017,502.049988,502.450012,491,443.17215,6778482
1/4/2017,497.524994,502.100006,496.125,444.911255,7073586
1/5/2017,500.799988,504.75,494.375,444.197754,8207074
1/6/2017,497.450012,499.424988,484.024994,433.540405,14393448
1/9/2017,486.125,488.475006,482.5,432.693176,10545692
1/10/2017,488.5,490.5,483.975006,432.782379,11939854
1/11/2017,487.100006,489.225006,481.975006,432.135773,12241574
1/12/2017,488.774994,502.200012,488.774994,445.936859,11855740
1/13/2017,515,520,481.350006,435.123383,31276246
1/16/2017,482.5,482.725006,476.225006,426.138214,12351372
1/17/2017,478.125,482,476.200012,426.026703,5560094
1/18/2017,479.049988,480.5,474.899994,423.975494,5952962
1/19/2017,475.5,479.799988,474.049988,427.230682,8876480
1/20/2017,475,476.575012,473,423.039124,9124742
1/23/2017,472.5,479,470,424.822784,7948580
1/24/2017,475,475,470.049988,421.63446,6826010
1/25/2017,473.049988,473.399994,467.399994,417.643524,9978090
1/27/2017,466.924988,473.774994,450.575012,420.118408,10635138
1/30/2017,468.75,475.75,464.424988,423.328918,11369208
1/31/2017,470.75,470.75,452.174988,414.076233,24068534
2/1/2017,460.549988,461.600006,452.575012,408.792114,11531782
2/2/2017,458.5,472.5,455.049988,417.331329,11828268
2/3/2017,466.899994,470.450012,460.524994,417.420532,8423958
2/6/2017,468.625,471.875,465.274994,417.041565,6727934
2/7/2017,466.5,474.899994,464.274994,420.162933,9268002
2/8/2017,468,472.049988,466.225006,417.598907,6319962
2/9/2017,468.5,475,468.274994,421.835144,11907266
2/10/2017,473.125,486,471.649994,431.779022,12252452
2/13/2017,486.424988,493.049988,481.424988,438.935944,13724268
2/14/2017,490,494.5,486.174988,440.429779,9338818
2/15/2017,494.600006,499.399994,484.399994,437.798889,7259486
2/16/2017,495.5,506.950012,495.024994,451.310028,12815858
2/17/2017,506.875,506.875,496.350006,445.959076,4851208
2/20/2017,498.25,515.5,496.75,450.485138,4650662
2/21/2017,511.049988,512.25,500.024994,451.979004,7613996
2/22/2017,507.5,507.5,493.200012,441.522247,6607838
2/23/2017,499.450012,510,496.674988,449.860809,9542656
2/27/2017,503.649994,511.5,503.475006,451.443817,5328696
2/28/2017,505.924988,511.350006,504.625,451.443817,5940132
3/1/2017,506,513.5,505.049988,457.129303,4282448
3/2/2017,512.200012,514,508.25,456.304291,2948498
3/3/2017,505.125,517.150024,500.200012,459.827026,5401612
3/6/2017,510.024994,517.974976,509.850006,461.031036,5286386
3/7/2017,511,512.900024,507.350006,454.743622,4644496
3/8/2017,508.450012,508.450012,502.225006,449.392639,6179176
3/9/2017,503.899994,506.5,499.5,451.064789,3480630
3/10/2017,507.5,513.825012,506.700012,455.657745,4550324
3/14/2017,511.399994,520.950012,511.399994,461.432404,7878396
3/15/2017,517.450012,517.450012,503.75,451.243195,6373978
3/16/2017,506.649994,515.849976,506.649994,458.779175,6702956
3/17/2017,517.700012,521.450012,509.625,463.884857,9507846
3/20/2017,513.275024,513.275024,507.549988,455.501678,4427388
3/21/2017,510.450012,517.474976,509.399994,460.562836,4869584
3/22/2017,511.225006,519.974976,510.200012,458.266327,3990852
3/23/2017,514.125,521.5,513.299988,463.951782,4501662
3/24/2017,519,522,513.849976,459.916229,4883896
3/27/2017,513.599976,520.924988,512.25,458.779175,7684824
3/28/2017,515.75,519.5,515.025024,461.58844,4796796
3/29/2017,517.150024,520.75,512.924988,460.116882,6981186
3/30/2017,517,517.950012,510.125,457.285309,12157180
3/31/2017,511.625,514.650024,504,455.836121,14153854
4/3/2017,516.075012,516.224976,503.049988,449.838531,4315600
4/5/2017,502.5,502.700012,495.5,444.108551,7398338
4/6/2017,499.075012,502.899994,496,445.736145,5379008
4/7/2017,500.450012,500.450012,489.5,437.687317,6404508
4/10/2017,492.450012,494.75,475.049988,425.134949,9528472
4/11/2017,478.024994,485.850006,478.024994,431.266235,8655466
4/12/2017,485,488.450012,480.174988,432.024292,6696752
4/13/2017,485,495,463.325012,415.324768,30973188
4/17/2017,465,466.049988,461.75,412.426392,7213434
4/18/2017,462.375,467,459.549988,411.423096,4647518
4/19/2017,461.5,465,456.325012,409.884613,10071702
4/20/2017,460.75,464.850006,459.274994,413.496552,4549000
4/21/2017,467.399994,467.399994,460.549988,411.891235,3577466
4/24/2017,458.75,464.25,456.5,413.16214,5556666
4/25/2017,462.950012,466.5,460.274994,414.410645,4737060
4/26/2017,464.975006,467.774994,455.100006,407.677307,9084496
4/27/2017,458,464.5,458,412.582458,7797208
4/28/2017,463.424988,463.700012,457.799988,409.773224,5029702
5/2/2017,462,463.200012,457.549988,411.400757,3231126
5/3/2017,463.25,469.549988,458.825012,416.618011,4659448
5/4/2017,468.5,469.825012,464.450012,418.111725,5279806
5/5/2017,468,468.674988,460,415.369354,4432788
5/8/2017,469,474.274994,466,421.612152,4707098
5/9/2017,475.299988,475.975006,471.049988,422.125031,5649372
5/10/2017,473.575012,475,468.575012,420.787201,3364302
5/11/2017,473.424988,474.924988,468.774994,420.987854,3229482
5/12/2017,476.5,483,475.725006,429.973083,10979996
5/15/2017,481.75,481.75,474.549988,424.309998,7297164
5/16/2017,476.549988,480.075012,473.475006,425.848419,6130168
5/17/2017,475.799988,479.225006,471.924988,424.86731,2915508
5/18/2017,471.5,486.950012,471.424988,428.858276,8057848
5/19/2017,480.75,481.350006,473.924988,427.163849,4257396
5/22/2017,479.200012,483.450012,478.274994,428.724518,5503052
5/23/2017,482.325012,483.5,477.049988,426.873962,4039982
